id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price,
9001,Peterborough House B&B,0.0,Bad,[''],633 Gilmour St ,Canada,Kimberley British Columbia,"(44.3014954, -78.338309)",300.0,
9002,Ramada Inn,0.0,Bad,"['Bar/Lounge', 'Non-smoking hotel', 'Wheelchair Access', 'Non-smoking rooms']",100 Charlotte St Peterborough Ontario,Canada,Kimberley British Columbia,"(44.3035966, -78.3185251)",300.0,
9003,Hotel Le Floral,4.5,Excellent,"['Breakfast included', 'Bar/Lounge', 'Non-smoking hotel', 'Air conditioning', 'Heated pool', 'Wheelchair Access', 'Dry Cleaning', 'Refrigerator in room', 'Family Rooms', 'Outdoor pool', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Multilingual Staff', 'Pool', 'Free parking', 'Public Wifi']",192 Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.403271, -71.889038)",115.0,
9004,OTL Gouverneur Sherbrooke,5.0,Excellent,"['Non-smoking hotel', 'Bar/Lounge', 'Business Centre with Internet Access', 'Breakfast included', 'Concierge', 'Accessible rooms', 'Banquet Room', 'Restaurant', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Suites', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Indoor pool', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service', 'Hot Tub', 'Pool', 'Public Wifi']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9005,Delta Hotels by Marriott Sherbrooke Conference Center,3.5,Very good,"['Non-smoking hotel', 'Bar/Lounge', 'Accessible rooms', 'Banquet Room', 'Restaurant', 'Air conditioning', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Free parking', 'Dry Cleaning', 'Non-smoking rooms', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Meeting rooms', 'Room service', 'Public Wifi']",2685 King Ouest Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3983347290799, -71.939346911956)",300.0,
9006,Auberge Marquis de Montcalm,5.0,Excellent,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Concierge', 'Air conditioning', 'Refrigerator in room', 'Spa', 'Suites', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service', 'Hot Tub', 'Public Wifi']",797 General-De Montcalm St. Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",169.0,
9007,Hotel Le President,4.0,Very good,"['Banquet Room', 'Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Heated pool', 'Wheelchair Access', 'Pool', 'Family Rooms', 'Meeting rooms', 'Free High Speed Internet (WiFi)', 'Free parking', 'Non-smoking rooms', 'Hot Tub', 'Multilingual Staff', 'Indoor pool', 'Conference Facilities']",3535 King Street West Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",300.0,
9008,Grand Times Hotel Sherbrooke,3.5,Very good,"['Non-smoking hotel', 'Bar/Lounge', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Banquet Room', 'Heated pool', 'Air conditioning', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Indoor pool', 'Conference Facilities', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Pool']",1 rue Belvedere Sud Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3980075, -71.8970635)",300.0,
9009,Comfort Inn Sherbrooke,3.5,Very good,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Accessible rooms', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Public Wifi']",4295 Boulevard Bourque Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3827413, -71.9685113)",300.0,
9010,Motel Lennoxville,4.0,Very good,"['Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Outdoor pool', 'Free High Speed Internet (WiFi)', 'Pool', 'Microwave', 'Free parking']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
